site,date,eto,vpd_medio,t_media,rh_media
rio_claro,2022-09-07,0,7.3,13.655,52.795
la_esperanza,2022-09-08,1.9,6.325,12.738,56.403
rio_claro,2022-09-08,1.3,3.138,8.188,70.619
la_esperanza,2022-09-09,2.5,11.925,16.648,36.88
rio_claro,2022-09-09,2.1,6.825,12.367,52.11
la_esperanza,2022-09-10,2.2,7.075,17.085,63.298
rio_claro,2022-09-10,2.4,9.95,16.944,48.081
la_esperanza,2022-09-11,1.7,4.95,13.402,67.262
rio_claro,2022-09-11,0,1.362,8.689,87.219
la_esperanza,2022-09-12,2.2,7.675,15.6,56.825
rio_claro,2022-09-12,2.3,8.213,14.486,49.93
la_esperanza,2022-09-13,2.1,7.45,15.255,56.618
rio_claro,2022-09-13,0,5.2,12.679,64.219
la_esperanza,2022-09-14,2.5,10.95,19.035,50.408
rio_claro,2022-09-14,0,10.088,17.596,49.51
la_esperanza,2022-09-15,2.2,10.25,18.995,53.108
rio_claro,2022-09-15,2.2,9.613,17.786,52.574
la_esperanza,2022-09-16,1.4,2.3,11.897,83.205
rio_claro,2022-09-16,0.9,0.425,9.186,95.979
la_esperanza,2022-09-17,1.8,8.3,16.49,55.252
rio_claro,2022-09-17,1.3,5.912,13.258,61.062
la_esperanza,2022-09-18,1.3,3.45,11.588,74.21
rio_claro,2022-09-18,0.8,0.45,6.383,94.595
la_esperanza,2022-09-19,1.8,7.95,14.822,52.473
rio_claro,2022-09-19,1.2,1.575,7.425,84.378
la_esperanza,2022-09-20,2,8.725,14.628,47.302
rio_claro,2022-09-20,1.5,4.338,9.804,63.651
la_esperanza,2022-09-21,2.5,9.475,14.825,43.562
rio_claro,2022-09-21,2.5,7.688,12.735,47.485
la_esperanza,2022-09-22,3.1,14.9,18.722,30.86
rio_claro,2022-09-22,2.7,8.488,14.704,48.955
la_esperanza,2022-09-23,2.1,10.525,19.068,52.193
rio_claro,2022-09-23,1.5,4.95,13.961,69.109
la_esperanza,2022-09-24,1.2,3.25,13.98,79.07
rio_claro,2022-09-24,1.5,3.2,12.956,78.044
la_esperanza,2022-09-25,2.5,7.625,16.425,58.765
rio_claro,2022-09-25,2.8,5.312,13.782,66.06
la_esperanza,2022-09-26,2.1,8.175,17.35,58.447
rio_claro,2022-09-26,2.1,5.987,14.621,63.698
la_esperanza,2022-09-27,2.9,10.75,19.045,51.175
rio_claro,2022-09-27,2.9,6.387,14.877,62.345
la_esperanza,2022-09-28,2.3,4.075,15.085,76.418
rio_claro,2022-09-28,3.3,10.625,18.744,50.644
la_esperanza,2022-09-29,0.8,0.75,12.265,94.165
rio_claro,2022-09-29,0,1.95,13.171,86.725
la_esperanza,2022-09-30,2.6,5.875,17.685,70.985
rio_claro,2022-09-30,3.3,8.262,18.372,61.07
la_esperanza,2022-10-01,2.9,8.65,20.137,63.022
rio_claro,2022-10-01,2.9,10.588,19.601,53.294
la_esperanza,2022-10-02,2.6,2.575,15.278,85.452
rio_claro,2022-10-02,3.6,12.5,21.455,51.069
la_esperanza,2022-10-03,0.9,0.925,11.207,92.43
rio_claro,2022-10-03,0.8,0.125,9.047,98.89
la_esperanza,2022-10-04,2.1,7.875,16.052,56.47
rio_claro,2022-10-04,1.1,2.113,10.256,82.381
la_esperanza,2022-10-05,2.6,10.05,18.273,51.962
rio_claro,2022-10-05,2.7,6.713,14.815,60.135
la_esperanza,2022-10-06,3.3,13.075,20.585,46.19
rio_claro,2022-10-06,3.3,9.287,17.865,54.742
la_esperanza,2022-10-07,3.6,15.25,22.805,44.972
rio_claro,2022-10-07,0,13.65,21.025,44.994
la_esperanza,2022-10-08,3.5,10,18.39,52.597
rio_claro,2022-10-08,2.7,3.962,12.261,72.305
la_esperanza,2022-10-09,4.1,16.7,21.005,32.94
rio_claro,2022-10-09,3.3,10.537,17.483,47.075
la_esperanza,2022-10-10,3.3,7.925,17.508,60.195
rio_claro,2022-10-10,3.5,12.213,18.56,42.671
la_esperanza,2022-10-11,2.8,6.45,16.333,65.405
rio_claro,2022-10-11,3.1,8.137,17.42,58.966
la_esperanza,2022-10-12,3.5,15.075,21.582,41.255
rio_claro,2022-10-12,3.2,5.325,14.655,67.743
la_esperanza,2022-10-13,3.9,14.125,19.898,39.165
rio_claro,2022-10-13,3.3,6.4,14.506,61.572
la_esperanza,2022-10-14,4,17.3,21.572,32.74
rio_claro,2022-10-14,3.5,10.925,17.925,46.75
la_esperanza,2022-10-15,4.2,20.8,25.025,34.37
rio_claro,2022-10-15,4,17.35,23.282,39.202
la_esperanza,2022-10-16,4,15.7,22.8,43.83
rio_claro,2022-10-16,4,17.338,23.087,38.62
la_esperanza,2022-10-17,2.3,3.2,12.94,78.255
rio_claro,2022-10-17,2.9,4.425,13.986,72.12
la_esperanza,2022-10-18,3.7,10.6,18.078,48.842
rio_claro,2022-10-18,3,5.862,14.511,64.705
la_esperanza,2022-10-19,3.4,11.35,19.317,49.22
rio_claro,2022-10-19,2.1,7.1,16.067,60.821
la_esperanza,2022-10-20,4.1,17.35,24.065,42.092
rio_claro,2022-10-20,4,14.775,21.151,41.443
la_esperanza,2022-10-21,4.1,16.35,23.067,42.055
rio_claro,2022-10-21,4,10.688,19.523,53.196
la_esperanza,2022-10-22,4.3,17.075,24.145,43.162
rio_claro,2022-10-22,4.2,17.6,23.182,37.751
la_esperanza,2022-10-23,4.1,12.275,19.573,46.12
rio_claro,2022-10-23,4,14.662,20.976,40.984
la_esperanza,2022-10-24,4.3,16.775,23.102,40.925
rio_claro,2022-10-24,4,13.8,20.976,44.651
la_esperanza,2022-10-25,3.6,6.975,16.952,63.517
rio_claro,2022-10-25,2.3,7.338,17.061,61.926
la_esperanza,2022-10-26,4.3,17.075,22.517,37.69
rio_claro,2022-10-26,4.2,12.525,20.304,47.218
la_esperanza,2022-10-27,4.5,19.325,24.63,37.772
rio_claro,2022-10-27,0,18.175,22.974,35.009
la_esperanza,2022-10-28,4.2,14.8,21.258,41.185
rio_claro,2022-10-28,2.6,8.525,17.623,57.522
